id,hex,name,rws,type,unit,scale,min,max,desc,rule,default,auth
91,0x5B,EstimSlow:Iq,R,?int,A,1000,,,Quadrature-axis current estimate,,,-
92,0x5C,EstimFast:Angle,R,uint,-,1,,,Electrical rotor angle estimate; full turn = 65536,,,-
93,0x5D,EstimFast:Id,R,?int,A,1000,,,Direct-axis current estimate,,,-
94,0x5E,EstimFast:Iq,R,?int,A,1000,,,Quadrature-axis current estimate,,,-
95,0x5F,EstimNow:Angle,R,uint,-,1,,,Electrical rotor angle estimate; full turn = 65536,,,-
96,0x60,EstimNow:Id,R,?int,A,1000,,,Direct-axis current estimate,,,-
97,0x61,EstimNow:Iq,R,?int,A,1000,,,Quadrature-axis current estimate,,,-
98,0x62,Feedback:SetpointSpeed,R,?uint,rpm,1,,,Requested speed after mode conversion,,,-
99,0x63,Feedback:SetpointFreq,R,?uint,Hz,100,,,Requested frequency after mode conversion,,,-
100,0x64,Feedback:RenderSpeed,R,?uint,rpm,1,,,Live ramp output speed,,,-
101,0x65,Feedback:RenderFreq,R,?uint,Hz,100,,,Live ramp output frequency,,,-
102,0x66,Feedback:ModIndex,R,?uint,m%,100,,,Active modulation index,,,-
103,0x67,Feedback:State,R,enum,0:shd 1:str 2:run 3:coa,-,,,Motor state (shd:shutdown str:starting run:running coa:coasting),,,-
107,0x6B,Counter:Hours,R,?uint,h,1,,,Total operating hours,,,-
108,0x6C,Counter:PowerUp,R,?uint,-,1,,,Power-up count,,,-
109,0x6D,Counter:Watchdog,R,?uint,-,1,,,Watchdog reset count,,,-
110,0x6E,Counter:RS485,R,?uint,-,1,,,RS-485 error count,,,-
111,0x6F,Counter:Link,R,?uint,-,1,,,Inter-MCU link error count,,,-
112,0x70,Speed:DerateTemp,RWs,int,°C,100,0,200,Temperature above which speed is derated down to Speed:Derating,,80.0,service
113,0x71,Speed:DerateCurr,RWs,uint,A,1000,0,30,Current above which speed is derated down to Speed:Derating,,6.5/13.0/19.0,service
114,0x72,Thresh:Temp,RWs,int,°C,100,0,200,Temperature threshold for emergency shutdown,,85.0,service
115,0x73,Thresh:CurrRms,RWs,uint,A,1000,0,30,RMS current threshold for emergency shutdown,,8/16.0/21.0,service
116,0x74,Thresh:CurrPeak,RWs,uint,A,1000,0,60,Peak current threshold for emergency shutdown,,18/37.5/40.0,service
117,0x75,Thresh:PeakCount,RWs,uint,-,1,1,50,Peak overcurrent events tolerated before the fault trips,,12,service
118,0x76,Thresh:DcBusMin,RWs,uint,V,10,0,800,DC-bus undervoltage threshold,,520.0/500.0/500.0,service
119,0x77,Thresh:DcBusMax,RWs,uint,V,10,0,800,DC-bus overvoltage threshold,,750.0,service
120,0x78,Thresh:FlybackMin,RWs,uint,V,100,0,50,Flyback undervoltage threshold,,16.0,service
121,0x79,Thresh:FlybackMax,RWs,uint,V,100,0,50,Flyback overvoltage threshold,,18.0,service
122,0x7A,Thresh:Ripple,RWs,uint,V,100,0,50,DC-bus ripple RMS threshold,,2.0,service
123,0x7B,Thresh:StartFreq,RWs,uint,Hz,100,0,200,Correction mechanisms stay off below this frequency,,24.0/20.0/16.0,service
